,Title,Date,URL
0,2대전때 미국 구식전함들은 뭐하고있었음?,2023.10.25,/b/gaijin/89662745?before=2023-10-25T10%3A44%3A12Z
1,공머공 누르드는 몇번을 써도 감이 안잡힘,2023.10.25,/b/gaijin/89662738?before=2023-10-25T10%3A44%3A12Z
2,FnF 개꿀이네,2023.10.25,/b/gaijin/89662735?before=2023-10-25T10%3A44%3A12Z
3,내일이면 채팅금지 풀린다,2023.10.25,/b/gaijin/89662525?before=2023-10-25T10%3A44%3A12Z
4,그대들 어떻게 살 것인가 꼭 보고 와라,2023.10.25,/b/gaijin/89662459?before=2023-10-25T10%3A44%3A12Z
5,팀킬 한번 하니까 4만이나 깎이네,2023.10.25,/b/gaijin/89662410?before=2023-10-25T10%3A44%3A12Z
6,바이킹 특,2023.10.25,/b/gaijin/89662395?before=2023-10-25T10%3A44%3A12Z
7,이번에 전자광학락온 매커니즘 나왔으니까 다음에 이거 나오려나,2023.10.25,/b/gaijin/89662139?before=2023-10-25T10%3A44%3A12Z
8,깡패 그자체,2023.10.25,/b/gaijin/89662133?before=2023-10-25T10%3A44%3A12Z
9,얘가 핀라켄임?,2023.10.25,/b/gaijin/89661969?before=2023-10-25T10%3A44%3A12Z
10,낭만 넘치는 폭장량,2023.10.25,/b/gaijin/89661915?before=2023-10-25T10%3A44%3A12Z
11,썬더에 은하수 있음?,2023.10.25,/b/gaijin/89661908?before=2023-10-25T10%3A44%3A12Z
12,그만밀어!!!!!!!!!!!!!!!,2023.10.25,/b/gaijin/89661665?before=2023-10-25T10%3A44%3A12Z
13,세일때 짱깨 공중도 뚫어볼거 같은데 골뱅 추천받음,2023.10.25,/b/gaijin/89661375?before=2023-10-25T10%3A44%3A12Z
14,이번 배패도 넘어가야지,2023.10.25,/b/gaijin/89661286?before=2023-10-25T10%3A44%3A12Z
15,시발 임마 뭐임,2023.10.25,/b/gaijin/89661281?before=2023-10-25T10%3A44%3A12Z
16,21데스,2023.10.25,/b/gaijin/89661217?before=2023-10-25T10%3A44%3A12Z
17,갑자기 12기가 다운로드하는데 뭐임,2023.10.25,/b/gaijin/89661163?before=2023-10-25T10%3A44%3A12Z
18,이거들으려 미국탄다,2023.10.25,/b/gaijin/89661045?before=2023-10-25T10%3A44%3A12Z
19,짤글 쓸때 아무말 대잔치 하는데,2023.10.25,/b/gaijin/89660811?before=2023-10-25T10%3A44%3A12Z
20,이래도 일본 안뚫어?,2023.10.25,/b/gaijin/89660759?before=2023-10-25T10%3A44%3A12Z
21,표준형 전함이나 리벤지급이나 둘다 똑같이 느려터졌던데,2023.10.25,/b/gaijin/89660687?before=2023-10-25T10%3A44%3A12Z
22,수리해줄것도 아니면서 부력 한계 도달 왜 자꾸 말하는거지,2023.10.25,/b/gaijin/89660683?before=2023-10-25T10%3A44%3A12Z
23,요즘 전쟁보면 그나마 선녀인 새끼,2023.10.25,/b/gaijin/89660656?before=2023-10-25T10%3A44%3A12Z
24,이게 행복이지,2023.10.25,/b/gaijin/89660481?before=2023-10-25T10%3A44%3A12Z
25,아오 틀딱배,2023.10.25,/b/gaijin/89660369?before=2023-10-25T10%3A44%3A12Z
26,좆같은 서버,2023.10.25,/b/gaijin/89660313?before=2023-10-25T10%3A44%3A12Z
27,배패로 통통배 말고 진짜 배를 주던 시절,2023.10.25,/b/gaijin/89660308?before=2023-10-25T10%3A44%3A12Z
28,요즘 미갈 뱅리얼 10점대 단일팀 수준 높네,2023.10.25,/b/gaijin/89660221?before=2023-10-25T10%3A44%3A12Z
29,[특별] 초도 비행일 기념 J35A 드라켄 재출시!,2023.10.25,/b/gaijin/89660129?before=2023-10-25T10%3A44%3A12Z
30,이번에 군표로 살거 뭐 없나?,2023.10.25,/b/gaijin/89659988?before=2023-10-25T10%3A44%3A12Z
31,전함간 전투에서 명중은 어케확인함?,2023.10.25,/b/gaijin/89659158?before=2023-10-25T10%3A44%3A12Z
32,레딧에 가챈에서 누가 창작한거 수출해갔노,2023.10.25,/b/gaijin/89658804?before=2023-10-25T10%3A44%3A12Z
33,져도 꽤 주네,2023.10.25,/b/gaijin/89658635?before=2023-10-25T10%3A44%3A12Z
34,실시간 개좆된새끼,2023.10.25,/b/gaijin/89658617?before=2023-10-25T10%3A44%3A12Z
35,이번 배패 9시까지임?,2023.10.25,/b/gaijin/89658337?before=2023-10-25T10%3A44%3A12Z
36,Nigger의 가치,2023.10.25,/b/gaijin/89658265?before=2023-10-25T10%3A44%3A12Z
37,그냥 스샷 대문도 좋은데,2023.10.25,/b/gaijin/89657963?before=2023-10-25T10%3A44%3A12Z
38,G10N 후카쿠인가 뭔가는 못나오려나,2023.10.25,/b/gaijin/89657859?before=2023-10-25T10%3A44%3A12Z
39,음....,2023.10.25,/b/gaijin/89657623?before=2023-10-25T10%3A44%3A12Z
40,총력전인데 서로 티켓 같았는데,2023.10.25,/b/gaijin/89657515?before=2023-10-25T10%3A44%3A12Z
41,씹덕노래 ) 터렛 기총 장점,2023.10.25,/b/gaijin/89657509?before=2023-10-25T10%3A44%3A12Z
42,개좆병신들 진짜 씨발 ㅋㅋㅋ,2023.10.25,/b/gaijin/89657267?before=2023-10-25T10%3A44%3A12Z
43,b17 홍어시절 그립진 않지만 다시 해보고 싶다,2023.10.25,/b/gaijin/89657053?before=2023-10-25T10%3A44%3A12Z
44,ㄹㅇ 젠20은 수호이 영향 개크게 받았노,2023.10.25,/b/gaijin/89657001?before=2023-10-25T10%3A44%3A12Z
0,어라 난 분명....,2023.10.25,/b/gaijin/89610295?before=2023-10-24T16%3A33%3A23Z
1,무장량에 연료제한 없는게 또 존나 웃긴포인트임,2023.10.25,/b/gaijin/89610254?before=2023-10-24T16%3A33%3A23Z
2,93식 타쉴 ?,2023.10.25,/b/gaijin/89610184?before=2023-10-24T16%3A33%3A23Z
3,스타시티즌 하는데 순간 흠칫했다,2023.10.25,/b/gaijin/89610157?before=2023-10-24T16%3A33%3A23Z
4,스폰캠핑 문제는 해결 불가능임,2023.10.25,/b/gaijin/89610111?before=2023-10-24T16%3A33%3A23Z
5,삽자루 탈만함?,2023.10.25,/b/gaijin/89610094?before=2023-10-24T16%3A33%3A23Z
6,무장량 제한에 연료도 넣어서 계산해야 하는 이유,2023.10.25,/b/gaijin/89610057?before=2023-10-24T16%3A33%3A23Z
7,근데 진짜 지상 보상좀,2023.10.25,/b/gaijin/89609976?before=2023-10-24T16%3A33%3A23Z
8,이스라엘 뚫어볼라 했는데,2023.10.25,/b/gaijin/89609893?before=2023-10-24T16%3A33%3A23Z
9,시발 저옵 랜더링 문제 골때리네,2023.10.25,/b/gaijin/89609794?before=2023-10-24T16%3A33%3A23Z
10,저번부터 계속 멈추는 현상 일어나는데 어떻게 해결함,2023.10.25,/b/gaijin/89609759?before=2023-10-24T16%3A33%3A23Z
11,900만년만에 보는 맵,2023.10.25,/b/gaijin/89609744?before=2023-10-24T16%3A33%3A23Z
12,울로퀄로 한다고 좋은거 아니다,2023.10.25,/b/gaijin/89609695?before=2023-10-24T16%3A33%3A23Z
13,로켓런 조치해야됨 증거있음,2023.10.25,/b/gaijin/89609452?before=2023-10-24T16%3A33%3A23Z
14,1가구 1CIWS 보급 앙망,2023.10.25,/b/gaijin/89609428?before=2023-10-24T16%3A33%3A23Z
15,와 93 진짜로 시커 좋아졌네?,2023.10.25,/b/gaijin/89609265?before=2023-10-24T16%3A33%3A23Z
16,RTB 성공했다ㅋㅋㅋㅋㅋ,2023.10.25,/b/gaijin/89609134?before=2023-10-24T16%3A33%3A23Z
17,1.7부랄 개빡세네,2023.10.25,/b/gaijin/89609106?before=2023-10-24T16%3A33%3A23Z
18,타격감 좆되네,2023.10.25,/b/gaijin/89609048?before=2023-10-24T16%3A33%3A23Z
19,이제 기지 대공은 없다고 봐야겠네,2023.10.25,/b/gaijin/89608993?before=2023-10-24T16%3A33%3A23Z
20,왜미사일락온안돼냐고,2023.10.25,/b/gaijin/89608910?before=2023-10-24T16%3A33%3A23Z
21,(틱톡/짱주의) 날탄과 이탈피,2023.10.25,/b/gaijin/89608862?before=2023-10-24T16%3A33%3A23Z
22,RTB 가능하다보냐?,2023.10.25,/b/gaijin/89608677?before=2023-10-24T16%3A33%3A23Z
23,아이시발 gta 존나웃기네,2023.10.25,/b/gaijin/89608550?before=2023-10-24T16%3A33%3A23Z
24,시발 스헌터에 탈리박았다,2023.10.25,/b/gaijin/89608531?before=2023-10-24T16%3A33%3A23Z
25,아탈피자가 직선으로 나가는게 맞음?,2023.10.25,/b/gaijin/89608375?before=2023-10-24T16%3A33%3A23Z
26,날탄 이탈피 뎀지 들어감???,2023.10.25,/b/gaijin/89608249?before=2023-10-24T16%3A33%3A23Z
27,오늘도 즐겜했다,2023.10.25,/b/gaijin/89608227?before=2023-10-24T16%3A33%3A23Z
28,수이오븜은 결국,2023.10.25,/b/gaijin/89608147?before=2023-10-24T16%3A33%3A23Z
29,톰캣 항전 구리다는 게 D캣도 포함임?,2023.10.25,/b/gaijin/89608072?before=2023-10-24T16%3A33%3A23Z
30,멜캅 그렇게 까지 병신 아닐지도?,2023.10.25,/b/gaijin/89608071?before=2023-10-24T16%3A33%3A23Z
31,제발 이번패치에 벽력5 새것좀,2023.10.25,/b/gaijin/89608047?before=2023-10-24T16%3A33%3A23Z
32,이탈피 저대로 나오면 푸마랑 87식 붕붕카 부랄 올라간 거 납득함,2023.10.25,/b/gaijin/89608031?before=2023-10-24T16%3A33%3A23Z
33,우회 성공~,2023.10.25,/b/gaijin/89607864?before=2023-10-24T16%3A33%3A23Z
34,정보) 뇌비우고 딸칵하면 워썬더 더 잘됨,2023.10.25,/b/gaijin/89607848?before=2023-10-24T16%3A33%3A23Z
